Zotero.URL|References
https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E $ https://www.zotero.org/groups/1051264/seshat_databank/items/7C4LTZGT/library|(Morby 2018) $ (Knecht 2010)
https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E $ https://www.zotero.org/groups/1051264/seshat_databank/items/GPPP7JLA/library|(Morby 2018) $ (Kleinman 1985)
https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E $ https://www.zotero.org/groups/1051264/seshat_databank/items/R9QSTBI8/library|(Morby 2018) $ (Dunlop 2000)
https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E $ https://www.zotero.org/groups/1051264/seshat_databank/items/FTL6B6UY/library|(Morby 2018) $ (Antoine 2014)
https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E $ https://www.zotero.org/groups/1051264/seshat_databank/items/8W9DPQDQ/library|(Morby 2018) $ (Hardman 2016)
https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E $ https://www.zotero.org/groups/1051264/seshat_databank/items/4NQT7BEM|Morby 2018: 78-79 $ McPhee 2004: 68-69.
https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E $ https://www.zotero.org/groups/1051264/seshat_databank/items/4NQT7BEM|Morby 2018: 78-79 $ McPhee 2004: 57-59, 71.
https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E $ https://www.zotero.org/groups/1051264/seshat_databank/items/4NQT7BEM|Morby 2018: 78-79 $ McPhee 2004: 71
https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E $ https://www.zotero.org/groups/1051264/seshat_databank/items/4NQT7BEM $ https://www.zotero.org/groups/1051264/seshat_databank/items/PEAXNPMV $ https://www.zotero.org/groups/1051264/seshat_databank/items/DQGBC3U9|Morby 2018: 78-79. $ McPhee 2004: 68-69. $ McLynn 1998: 243, 296. $ Furet 1996: 239-241.
https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E $ https://www.zotero.org/groups/1051264/seshat_databank/items/PEAXNPMV $ https://www.zotero.org/groups/1051264/seshat_databank/items/4NQT7BEM/library|Morby 2018: 78-79 $ McLynn 1998: 604-607 $ McPhee 2004: 88-89, 107-108.
